Master_ID,Master_Category,Product_Name,Grams,Price_Per_Grams,Selling_Price,Stock,Supplier,Variation_Name_Lazada,Product_ID_Lazada,SKU_ID_Lazada,Key_Lazada,Quantity_Lazada,Product_ID_Shopee,Variation_ID_Shopee,Variation_Name_Shopee,Product_ID_Tiktok,SKU_ID_Tiktok,Variation_Name_Tiktok,Category_Tiktok,Quantity_Tiktok
,Earrings,Pawnable 18K Gold Mini Kitty Roscas (Silicone Stopper),0.20 - 0.25,9000,2812,,668,6 mm,15477229619,133098111165,7b1f1d735c51d13c6e533834559f1ea9,1000,25802044309,435633549426,,1734612617618359338,1734612525234619434,Default,Gold Earrings (956808),1000
,Earrings,Pawnable 18K Gold Flower Roscas (Silicone Stopper),0.15 - 0.20 ,9000,2250,,668,5.5 MM,15477253914,133105260253,8415cc3b7fa93bbeb80d3006c22cf7b3,1000,25652033429,194776037461,,1734612694377006122,1734612696849351722,Default,Gold Earrings (956808),1000
,Earrings,Pawnable 18K Gold Mini Clover Ear Huggies,0.13 - 0.16,9000,1800,,668,1 Piece,15477258144,133098243544,56188af55f1622a820f0f63bdbf699cc,1000,26035477757,79951998849,1 Piece,1734645793049707562,1734645796607722538,1 Piece,Gold Earrings (956808),1000
,Earrings,Pawnable 18K Gold Mini Clover Ear Huggies,0.25 - 0.30 ,9000,3375,,668,1 Pair,15477258144,133098243545,399d60a893b3037e9b61ef2c0cba1b13,1000,26035477757,79951998850,1 Pair,1734645793049707562,1734645796607788074,1 Pair,Gold Earrings (956808),1000
,Earrings,Pawnable 18K Gold Mini Puff Heart Ear Huggies,0.13 - 0.16,9000,1800,,668,1 Piece,15477258311,133098383175,3b43ba116fa4eb814a3b325e7b5704af,1000,47457215237,325641311397,1 Piece,1734645824162595882,1734645989901501482,1 Piece,Gold Earrings (956808),1000
,Earrings,Pawnable 18K Gold Mini Puff Heart Ear Huggies,0.25 - 0.30 ,9000,3375,,668,1 Pair,15477258311,133098383176,955f8751559d5c8be2d9913f80f6a08a,1000,47457215237,325641311398,1 Pair,1734645824162595882,1734646069914534954,1 Pair,Gold Earrings (956808),1000
,Earrings,Pawnable 18K Saudi Gold Mini Huggies Hoop Earrings,0.57 - 0.62,9000,6975,,GS,9 mm,15477274311,133098261611,4e196c6bde58ecfdebb6f32b044160e5,39,24480222971,276870810575,9mm,1734947784370521130,1734947816381711402,9mm,Gold Earrings (956808),18
,Earrings,Pawnable 18K Saudi Gold Mini Huggies Hoop Earrings,1.08 - 1.13,9000,12712,,FG,11.5 mm,15477274311,133098261612,ab4173faba278f86174533a14c8d52df,20,24480222971,168529669304,11.5mm,1734947784370521130,1734947816381776938,11.5mm,Gold Earrings (956808),10
,Earrings,Pawnable 18K Gold Mini Star Ear Huggies,0.13 - 0.16,9000,1800,,668,1 Piece,15477305648,133105362108,c32309fa300642648c362ad4271f9846,1000,45707229840,380641317211,1 Piece,1734646070875227178,1734645996170544170,1 Piece,Gold Earrings (956808),1000
,Earrings,Pawnable 18K Gold Mini Star Ear Huggies,0.25 - 0.30 ,9000,3375,,668,1 Pair,15477305648,133105362109,8673dc52338b31912648d9ffa58d84f8,1000,45707229840,380641317212,1 Pair,1734646070875227178,1734645996170609706,1 Pair,Gold Earrings (956808),1000
,Earrings,Pawnable 18K Gold Puff Heart Roscas (Silicone Stopper),0.20 - 0.25,9000,2812,,668,6.5mm,15477319128,133098055471,64a533d682ac3b808724c2fc738ab03b,1000,22461704842,222312736690,6.5mm,1734614333584016426,1734614315721393194,6.5mm,Gold Earrings (956808),1000
